Navn,Adresse,Status,Takster,Type,Pladser,Kapacitet,Kontaktperson,Email,Telefon,Årsomsætning,Overskud,Lønomkostninger_Administrativt,Lønomkostninger_Personale,Omkostninger_til_ikke_fastansat_personale,Soliditetsgrad,Procentmæssigt_overskud_i_forhold_til_omsætningen,Samlede_lønomkostninger_i_forhold_til_omsætningen,Ejendomsomkostninger_i_forhold_til_omsætningen,Personalegennemstrømningen_på_tilbuddet,latitude,longitude
Lysningen (Center for Specialpædagogiske Børnetilbud),"Årslev Møllevej 19A
    

    8220 Brabrand","Godkendt
        26-02-2025",4.166 - 4.166 kr.,"Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","2 - Botilbud til midlertidige ophold, § 107
                
            
                
                    10 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","10 pladser -
                Kontakt afdelingen om ledige pladser",Mikael Carlsen,specialpaedboernetilbud@aarhus.dk,87132525,79.117.264 kr.,-2.711.315 kr.,5.221.724 kr.,40.044.944 kr.,4.923.881 kr.,,"-3,43 %","69,01 %","8,11 %",14 %,56.155345,10.085158
Midlertidigt botilbud (Hilltop),"Arvikavej 4
    

    7800 Skive","Godkendt
        28-06-2024","1.837,4 - 1.837,4 kr.","Botilbud til midlertidige ophold, § 107","39 - Botilbud til midlertidige ophold, § 107","39 pladser -
                Kontakt afdelingen om ledige pladser",Jeppe Hansen,jh@hilltop.dk,20962907,25.779.893 kr.,95.359 kr.,1.896.258 kr.,16.282.898 kr.,313.943 kr.,24 %,"0,37 %","79,54 %","7,77 %",9 %,56.556171,9.02236
"Botilbuddet Sirius, afdeling Assensvej (Botilbuddet Sirius, afdeling Eskebjerg)","Assensvej 140
    

    5771 Stenstrup","Godkendt
        11-04-2025","627,04 - 7.338,46 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107
            
        
            
                Aktivitets- og samværstilbud, § 104","0 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    1 - Botilbud til længerevarende ophold, § 108
                
            
                
                    1 - Botilbud til midlertidige ophold, § 107
                
            
                
                    2 - Aktivitets- og samværstilbud, § 104","1 pladser -
                Kontakt afdelingen om ledige pladser",Dina Foskjær,dina@densocialfaglige.dk,4549405612,25.093.678 kr.,284.226 kr.,143.284 kr.,14.044.456 kr.,3.021.510 kr.,"63,31 %","1,13 %","70,04 %","19,99 %","34,87 %",55.123498,10.510462
Habitus Huset Brædstrup (Habitus Huset Nordahl),"Åstruplundvej 2
    

    8740 Brædstrup","Godkendt
        12-01-2025","1.933,76 - 18.704,12 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til længerevarende ophold, § 108","1 - Aktivitets- og samværstilbud, § 104
                
            
                
                    1 - Botilbud til længerevarende ophold, § 108","1 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 1 pladser forbeholdt beboere på botilbuddet",Elizabeth Bergstrøm,ehb@habitus.dk,25257069,16.102.717 kr.,-162.001 kr.,23.337 kr.,9.265.454 kr.,1.162.431 kr.,-19 %,"-1,01 %","71,28 %","7,2 %","27,78 %",55.956742,9.590122
Habitus Huset Astrupvej (HabitusHuset Børsholt),"Astrupvej 331
    

    9870 Sindal","Godkendt
        30-03-2025","22.634,6 - 22.634,6 kr.","Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
            ingen ledige",Elizabeth Bergstrøm,ehb@habitus.dk,20610241,18.355.493 kr.,-85.018 kr.,98.316 kr.,600.665 kr.,1.150.914 kr.,"-34,6 %","-0,46 %","20,14 %","8,5 %","14,81 %",57.477098,10.159729
"Fredensborg Huset (Døgn §43 stk 1 nr.6,§107)) (Dyssegården Den psykiatriske behandlingsinstitution)","Avderødvej 32A
    

    2980 Kokkedal","Godkendt
        02-07-2024","4.196,65 - 4.394,12 kr.","Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","5 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    3 - Botilbud til midlertidige ophold, § 107","5 pladser -
                Kontakt afdelingen om ledige pladser",Birgitte Munch-Hansen,gmh@dyssegaarden.dk,48207800,69.488.462 kr.,3.573.870 kr.,"4.369.354,04 kr.","35.757.783,49 kr.","3.074.016,65 kr.","49,5 %","5,14 %","72,21 %","5,2 %",9 %,55.918204,12.434083
"Apollo (Døgn, §43 stk 1nr.6, § 107 (børn og unge) (Dyssegården Den psykiatriske behandlingsinstitution)","Avderødvej 32A
    

    2980 Kokkedal","Godkendt
        02-07-2024","4.196,65 - 4.394,12 kr.","Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","7 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    1 - Botilbud til midlertidige ophold, § 107","7 pladser -
                Kontakt afdelingen om ledige pladser",Birgitte Munch-Hansen,gmh@dyssegaarden.dk,48207800,69.488.462 kr.,3.573.870 kr.,"4.369.354,04 kr.","35.757.783,49 kr.","3.074.016,65 kr.","49,5 %","5,14 %","72,21 %","5,2 %",9 %,55.918204,12.434083
"Merkur (Døgn§107,§ 43 stk1 nr. 6 +§114) (Dyssegården Den psykiatriske behandlingsinstitution)","Avderødvej 32A
    

    2980 Kokkedal","Godkendt
        02-07-2024","1.236,38 - 4.196,65 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","15 - Botilbud til midlertidige ophold, § 107
                
            
                
                    6 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","15 pladser -
                Kontakt afdelingen om ledige pladser",Birgitte Munch-Hansen,gmh@dyssegaarden.dk,48207800,69.488.462 kr.,3.573.870 kr.,"4.369.354,04 kr.","35.757.783,49 kr.","3.074.016,65 kr.","49,5 %","5,14 %","72,21 %","5,2 %",9 %,55.918204,12.434083
"Jupiter (Døgn §43 st.1.nr.6,§107) (Dyssegården Den psykiatriske behandlingsinstitution)","Avderødvej 32A
    

    2980 Kokkedal","Godkendt
        02-07-2024","4.196,65 - 4.394,12 kr.","Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","5 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    3 - Botilbud til midlertidige ophold, § 107","5 pladser -
            ingen ledige",Birgitte Munch-Hansen,gmh@dyssegaarden.dk,48207800,69.488.462 kr.,3.573.870 kr.,"4.369.354,04 kr.","35.757.783,49 kr.","3.074.016,65 kr.","49,5 %","5,14 %","72,21 %","5,2 %",9 %,55.918204,12.434083
Støttekontaktgruppens Botilbud Karlebo Hus 1 (Støttekontaktgruppens Botilbud afd. 3),"Avderødvej 42
    

    2980 Kokkedal","Godkendt
        13-12-2024","2.046,33 - 4.210,96 kr.","Botilbud til midlertidige ophold, § 107","9 - Botilbud til midlertidige ophold, § 107","9 pladser -
                Kontakt afdelingen om ledige pladser",Henriette Salmon,henriette@botilbud.skgr.dk,25502424,32.814.453 kr.,2.560.517 kr.,1.809.903 kr.,16.170.210 kr.,2.595.925 kr.,"58,81 %","7,8 %","70,97 %","9,18 %",33 %,55.916876,12.422578
Satellitten (Opholdsstedet Stationen),"Avnøvej 17
    

    6100 Haderslev","Godkendt
        26-11-2024","3.307,52 - 3.307,52 kr.","Døgnbehandlingstilbud - Stofmisbrug, § 101, jf. § 107
            
        
            
                Ambulant stofmisbrugsbehandling, §101 – Børn og unge
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","0 - Døgnbehandlingstilbud - Stofmisbrug, § 101, jf. § 107
                
            
                
                    0 - Ambulant stofmisbrugsbehandling, §101 – Børn og unge
                
            
                
                    6 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    1 - Botilbud til midlertidige ophold, § 107","6 pladser -
                Kontakt afdelingen om ledige pladser",Michael Lau,stationen@inst-stationen.dk,74567522,20.407.228 kr.,4.090.510 kr.,1.269.624 kr.,5.929.714 kr.,2.794.552 kr.,"57,48 %","20,04 %","60,49 %","3,2 %","4,3 %",55.3196,9.565823
"Rindbæk Hus 1 (Specialområde Autisme, Hedensted)","Bækketoften 2B
    

    8722 Hedensted","Godkendt
        14-03-2024",1.641 - 3.344 kr.,"Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","11 - Botilbud til længerevarende ophold, § 108
                
            
                
                    11 - Botilbud til midlertidige ophold, § 107","11 pladser -
                Kontakt afdelingen om ledige pladser",Sanne Frølund,safroe@rm.dk,24753799,75.111.000 kr.,-478.000 kr.,1.297.000 kr.,44.824.000 kr.,4.195.000 kr.,,"-0,64 %","72,37 %","7,33 %","42,7 %",55.76406,9.705052
"Rindbæk Hus 2 (Specialområde Autisme, Hedensted)","Bækketoften 2C, st.  1
    

    8722 Hedensted","Godkendt
        14-03-2024",2.118 - 2.118 kr.,"Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","4 - Botilbud til længerevarende ophold, § 108
                
            
                
                    4 - Botilbud til midlertidige ophold, § 107","4 pladser -
                Kontakt afdelingen om ledige pladser",Sanne Frølund,safroe@rm.dk,24753799,75.111.000 kr.,-478.000 kr.,1.297.000 kr.,44.824.000 kr.,4.195.000 kr.,,"-0,64 %","72,37 %","7,33 %","42,7 %",,
BOFÆLLESSKABET BAKKEHUSET,"Bakkegårdsparken 124O
    

    6630 Rødding","Godkendt
        21-02-2025","956,87 - 1.722,36 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 pladser -
            ingen ledige",Jan Olesen,janol@vejen.dk,79965060,,,,,,,,,,,55.374722,9.060191
Bakken 11 (BO-ENHEDEN BAKKEHUSET),"Bakken 7
    

    2600 Glostrup","Godkendt
        19-09-2024",3.867 - 3.867 kr.,"Botilbud til længerevarende ophold, § 108","6 - Botilbud til længerevarende ophold, § 108","6 pladser -
            ingen ledige",Henning Erik Pedersen,henning.pedersen@glostrup.dk,43482102,21.781.597 kr.,297.477 kr.,2.090.785 kr.,15.567.316 kr.,240.339 kr.,,"1,37 %","88,22 %","5,39 %","32,35 %",55.670617,12.385409
Bakken 7 (BO-ENHEDEN BAKKEHUSET),"Bakken 7
    

    2600 Glostrup","Godkendt
        19-09-2024",3.867 - 3.867 kr.,"Botilbud til længerevarende ophold, § 108","6 - Botilbud til længerevarende ophold, § 108","6 pladser -
                Kontakt afdelingen om ledige pladser",Henning Erik Pedersen,henning.pedersen@glostrup.dk,43482102,21.781.597 kr.,297.477 kr.,2.090.785 kr.,15.567.316 kr.,240.339 kr.,,"1,37 %","88,22 %","5,39 %","32,35 %",55.670617,12.385409
Bakken 9 (BO-ENHEDEN BAKKEHUSET),"Bakken 7
    

    2600 Glostrup","Godkendt
        19-09-2024",3.867 - 3.867 kr.,"Botilbud til længerevarende ophold, § 108","6 - Botilbud til længerevarende ophold, § 108","6 pladser -
                Kontakt afdelingen om ledige pladser",Henning Erik Pedersen,henning.pedersen@glostrup.dk,43482102,21.781.597 kr.,297.477 kr.,2.090.785 kr.,15.567.316 kr.,240.339 kr.,,"1,37 %","88,22 %","5,39 %","32,35 %",55.670617,12.385409
Granvej (Fonden bofællesskabet Bakkevej),"Bakkevej 59
    

    3460 Birkerød","Godkendt
        24-02-2025","2.416,47 - 2.416,47 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","13 - Botilbud til længerevarende ophold, § 108
                
            
                
                    0 - Botilbud til midlertidige ophold, § 107","0 pladser -
                Kontakt afdelingen om ledige pladser",Betina Buch-Hansen,forstander@bakkevej.dk,45818608,6.103.284 kr.,119.744 kr.,69.302 kr.,2.926.700 kr.,176.321 kr.,74 %,"1,96 %","76,71 %","9,21 %",0 %,55.854079,12.432632
Fonden bofællesskabet Bakkevej,"Bakkevej 59
    

    3460 Birkerød","Godkendt
        24-02-2025","2.616,57 - 2.616,57 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","3 - Botilbud til længerevarende ophold, § 108
                
            
                
                    3 - Botilbud til midlertidige ophold, § 107","3 pladser -
                Kontakt afdelingen om ledige pladser",Betina Buch-Hansen,forstander@bakkevej.dk,45818608,6.103.284 kr.,119.744 kr.,69.302 kr.,2.926.700 kr.,176.321 kr.,74 %,"1,96 %","76,71 %","9,21 %",0 %,55.854079,12.432632
Botilbud Baldersgade (Botilbud Vinklen CSBB),"Baldersgade 9
    

    2200 København N","Godkendt
        08-10-2024",620 - 1.990 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","11 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","11 pladser -
            ingen ledige",Susanne Inger Wolfsberg,hl72@kk.dk,26816667,14.314.765 kr.,-815.713 kr.,0 kr.,10.114.364 kr.,408.969 kr.,,"-5,7 %","80,81 %","6,44 %",28 %,55.699857,12.545245
Kirkeengen,"Banegraven 13
    

    3550 Slangerup","Godkendt
        07-01-2025","10.657,6 - 11.181,18 kr.","Botilbud til længerevarende ophold, § 108","2 - Botilbud til længerevarende ophold, § 108","2 pladser -
            ingen ledige",Tina Nielsen,tina.nielsen@egekom.dk,72597999,,,,,,,,,,,55.846559,12.182091
Banemarken,"Banemarken 2
    

    4270 Høng","Godkendt
        15-05-2024",1.918 - 1.918 kr.,"Botilbud til midlertidige ophold, § 107","4 - Botilbud til midlertidige ophold, § 107","4 pladser -
            ingen ledige",Louise Nielsen,lown@kalundborg.dk,24594977,,,,,,,,,,,55.507263,11.285351
Borupvej (PGU Rosenholm),"Banevej 2
    

    8543 Hornslet","Godkendt
        16-09-2024","1.302,52 - 1.694,8 kr.","Botilbud til midlertidige ophold, § 107","7 - Botilbud til midlertidige ophold, § 107","7 pladser -
                Kontakt afdelingen om ledige pladser",Birgit Smedegaard,bsm@pgu.dk,61729202,13.266.401 kr.,308.255 kr.,1.069.890 kr.,"8.061.683,08 kr.",603.055 kr.,"70,39 %","2,32 %","75,78 %","11,6 %",2 %,56.320772,10.313529
Toftevej (PGU Rosenholm),"Banevej 2
    

    8543 Hornslet","Godkendt
        16-09-2024","1.302,52 - 1.302,52 kr.","Botilbud til midlertidige ophold, § 107","7 - Botilbud til midlertidige ophold, § 107","7 pladser -
                Kontakt afdelingen om ledige pladser",Birgit Smedegaard,bsm@pgu.dk,61729202,13.266.401 kr.,308.255 kr.,1.069.890 kr.,"8.061.683,08 kr.",603.055 kr.,"70,39 %","2,32 %","75,78 %","11,6 %",2 %,56.320772,10.313529
Tingvej (PGU Rosenholm),"Banevej 2
    

    8543 Hornslet","Godkendt
        16-09-2024","1.302,52 - 1.729,46 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","4 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    4 - Botilbud til midlertidige ophold, § 107","4 pladser -
                Kontakt afdelingen om ledige pladser",Birgit Smedegaard,bsm@pgu.dk,61729202,13.266.401 kr.,308.255 kr.,1.069.890 kr.,"8.061.683,08 kr.",603.055 kr.,"70,39 %","2,32 %","75,78 %","11,6 %",2 %,56.320772,10.313529
Aflastningsinstitutionen Lundø,"Bank-Mikkelsens Vej 14B
    

    2820 Gentofte","Godkendt
        06-11-2024",3.876 - 8.862 kr.,"Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","4 - Botilbud til midlertidige ophold, § 107
                
            
                
                    18 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","18 pladser -
                Kontakt afdelingen om ledige pladser",Torben Østergaard Myhre,tey@gentofte.dk,51396892,,,,,,,,,,,55.753694,12.508779
Boligerne ved Grønningen,"Bank-Mikkelsens Vej 8A
    

    2820 Gentofte","Godkendt
        18-11-2024","3.738,28 - 10.714,82 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","24 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","24 pladser -
            ingen ledige",Anne Merete Bruhn-Jensen,abj@gentofte.dk,39987075,,,,,,,,,,,55.752496,12.509259
